Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
"Research of genetic markers in pets for the purpose of quantitative, qualitative and hygienic improvement of livestock production.",309874.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Basilicata; University of Bari Aldo Moro; University of Molise; University of Milan; Catholic University of the Sacred Heart; University of Naples Federico II; Tuscia University; University of Bologna; University of Turin,University of Basilicata; University of Bari Aldo Moro; University of Molise; University of Milan; Catholic University of the Sacred Heart; University of Naples Federico II; Tuscia University; University of Bologna; University of Turin,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3105 Genetics,,,,,,,,genetic marker in pet
Folding and misfolding of proteins,206582.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Pavia; University of Verona; University of Naples Federico II; University of Udine,University of Florence; University of Pavia; University of Verona; University of Naples Federico II; University of Udine,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,protein misfolding
"Innovative methodologies for the quantification of groundwater monitoring, management and control.",350157.0,1999-01-01,1999.0,2001-01-01,2001.0,Politecnico di Milano; University of Milan; University of Reggio Calabria; Marche Polytechnic University; University of Naples Federico II; University of Trento; University of Padua; University of Bologna; University of Trieste; Roma Tre University; University of Calabria; University of Basilicata; Sapienza University of Rome,Politecnico di Milano; University of Milan; University of Reggio Calabria; Marche Polytechnic University; University of Naples Federico II; University of Trento; University of Padua; University of Bologna; University of Trieste; Roma Tre University; University of Calabria; University of Basilicata; Sapienza University of Rome,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,37 Earth Sciences; 3707 Hydrology,,,,,,,,groundwater quant
Gemination and development of small businesses in enterprise reticence systems,96577.0,1999-01-01,1999.0,2000-01-01,2000.0,University of Campania Luigi Vanvitelli; University of Rome Tor Vergata; University of Salerno; University of Naples Federico II,University of Campania Luigi Vanvitelli; University of Rome Tor Vergata; University of Salerno; University of Naples Federico II,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,46 Information and Computing Sciences; 4609 Information Systems,,,,,,,,small business gemination in enterprise reticence
"GEOMETRIC STRUCTURES, COMBINATORS AND THEIR APPLICATIONS",594441.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of L'Aquila; Catholic University of the Sacred Heart; University of Perugia; Sapienza University of Rome; Polytechnic University of Bari; University of Catania; University of Parma; University of Bologna; University of Pavia; University of Basilicata; University of Udine; University of Brescia; University of Modena and Reggio Emilia; University of Palermo; Politecnico di Milano; University of Bari Aldo Moro; University of Messina; University of Campania Luigi Vanvitelli; University of Teramo,University of Naples Federico II; University of L'Aquila; Catholic University of the Sacred Heart; University of Perugia; Sapienza University of Rome; Polytechnic University of Bari; University of Catania; University of Parma; University of Bologna; University of Pavia; University of Basilicata; University of Udine; University of Brescia; University of Modena and Reggio Emilia; University of Palermo; Politecnico di Milano; University of Bari Aldo Moro; University of Messina; University of Campania Luigi Vanvitelli; University of Teramo,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,49 Mathematical Sciences; 4904 Pure Mathematics,,,,,,,,geometry and combinatorics
ELECTRICITY PRODUCTION SYSTEMS FROM FOSSIL FUEL FUELS TO LOWER RISKS OF CARBON BIOSSID,138410.0,1999-01-01,1999.0,2001-01-01,2001.0,Politecnico di Milano; University of Florence; University of Genoa; University of Naples Federico II; University of Cagliari; University of L'Aquila,Politecnico di Milano; University of Florence; University of Genoa; University of Naples Federico II; University of Cagliari; University of L'Aquila,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3106 Industrial Biotechnology; 40 Engineering,,,,,,,,fossil fuel-powered electricity with reduced carbon emission
Editions and studies on papyrus Herculaneum and other Greek texts on papyrus,92962.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Salerno; University of Calabria; University of Udine,University of Naples Federico II; University of Salerno; University of Calabria; University of Udine,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"47 Language, Communication and Culture; 4705 Literary Studies",,,,,,,,papyrus study
Abandoned areas and urban green areas,191089.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Padua; University of Bologna; University of Parma; University of Udine; Roma Tre University; University of Salento; University of Milan; University of Sannio; University of Salerno,University of Naples Federico II; University of Padua; University of Bologna; University of Parma; University of Udine; Roma Tre University; University of Salento; University of Milan; University of Sannio; University of Salerno,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,urban renewal
The Council of State between law and society. The Italian and French experience,33053.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Molise,University of Naples Federico II; University of Molise,Italy; Italy,"Ministry of Education, Universities and Research",,Italy,48 Law and Legal Studies; 4807 Public Law,,,,,,,,law and society in italy and france
Role of the endothelium in vascular damage,185924.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Florence; University of Messina; University of Salerno; University of Naples Federico II; University of Perugia; University of Padua,University of Florence; University of Messina; University of Salerno; University of Naples Federico II; University of Perugia; University of Padua,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,32 Biomedical and Clinical Sciences; 34 Chemical Sciences; 3404 Medicinal and Biomolecular Chemistry,,Cardiovascular,2.1 Biological and endogenous factors,,,,,endothelium's impact on vascular damage
Multifunctional systems based on the use of intelligent materials and aimed at the identification of structural damage and active control of vibration and noise.,160618.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; Sapienza University of Rome; Politecnico di Milano; Polytechnic University of Turin,University of Naples Federico II; Sapienza University of Rome; Politecnico di Milano; Polytechnic University of Turin,Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry; 40 Engineering,,,,,,B12 Engineering,,intelligent material
Strategies for the control of cell survival,624912.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Rome Tor Vergata; University of Milan; University of Naples Federico II; Sapienza University of Rome; University of Palermo; University of Genoa; University of Bari Aldo Moro; University of Pisa; University of Padua; University of Catania; Magna Graecia University,University of Rome Tor Vergata; University of Milan; University of Naples Federico II; Sapienza University of Rome; University of Palermo; University of Genoa; University of Bari Aldo Moro; University of Pisa; University of Padua; University of Catania; Magna Graecia University,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 32 Biomedical and Clinical Sciences,,Metabolic and endocrine,,,,,,cell survival control
Study of cereal proteins and their relationship with technological and nutritional aspects.,196253.0,1999-01-01,1999.0,2001-01-01,2001.0,Tuscia University; University of Milan; University of Verona; University of Catania; University of Naples Federico II,Tuscia University; University of Milan; University of Verona; University of Catania; University of Naples Federico II,Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"30 Agricultural, Veterinary and Food Sciences; 31 Biological Sciences; 3101 Biochemistry and Cell Biology",,,,,,,,cereal protein
"EXPLAINING AND UNDERSTANDING IN PHYSICS ( S e C i F ) New models for a new cultural education in Physics, integrated with the use of new technologies",179727.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Naples Federico II; University of Palermo; University of Turin; University of Milan; University of Udine; University of Pavia,University of Naples Federico II; University of Palermo; University of Turin; University of Milan; University of Udine; University of Pavia,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,39 Education; 51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,C23 Education,4 Quality Education,new physic ed
ITALIAN HISTORICAL PICKS FROM MEDIUMY TO NOVECENTO,80050.0,1999-01-01,1999.0,2001-01-01,2001.0,Sapienza University of Rome; University of Reggio Calabria; University of Naples Federico II; University of Florence; University of Palermo; Roma Tre University,Sapienza University of Rome; University of Reggio Calabria; University of Naples Federico II; University of Florence; University of Palermo; Roma Tre University,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,"43 History, Heritage and Archaeology; 4303 Historical Studies",,,,,,,,italian history
Tourism in Italy,77468.0,1999-01-01,1999.0,2001-01-01,2001.0,University of Bologna; University of Sassari; University of Naples Federico II; University of Urbino; University of Florence; University of Palermo,University of Bologna; University of Sassari; University of Naples Federico II; University of Urbino; University of Florence; University of Palermo,Italy; Italy; Italy; Italy; Italy; Italy,"Ministry of Education, Universities and Research",,Italy,,,,,,,,,italian tourism
